id;name;region;group_key;category;tags;hidden;is_local;rating;description;access;coord_x;coord_y;created_at;lat;lng
osm-6771426156;საბრძოლო დიდების მუზეუმი;შიდა ქართლი;culture;მუზეუმი;"[""მუზეუმი"",""შიდა ქართლი""]";true;true;4.4;მუზეუმი — შიდა ქართლი.;{};61.04;62.87;2026-08-03 10:38:42.238563+00;41.98406;44.11202
osm-6803048185;კასპის აკლდამები;თბილისი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""თბილისი""]";true;true;4.4;ღირსშესანიშნაობა — თბილისი.;{};65.26;64.56;2026-08-03 10:38:42.238563+00;41.93907;44.40284
osm-6829908087;შავერგე;კახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""კახეთი""]";true;true;4.4;ღირსშესანიშნაობა — კახეთი.;{};84.61;63.99;2026-08-03 10:38:42.238563+00;41.95418;45.73817
osm-6844357003;ბაია გელერეა;თბილისი;culture;გალერეა;"[""გალერეა"",""თბილისი""]";true;true;4.4;გალერეა — თბილისი.;{};70.96;73.73;2026-08-03 10:38:42.238563+00;41.69626;44.79652
osm-6844357004;ართბეთი;თბილისი;culture;გალერეა;"[""გალერეა"",""თბილისი""]";true;true;4.4;გალერეა — თბილისი.;{};70.97;73.78;2026-08-03 10:38:42.238563+00;41.69472;44.79668
osm-6876095085;ციბალას წყალი;კახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""კახეთი""]";true;true;4.4;ღირსშესანიშნაობა — კახეთი.;{};87.22;77.49;2026-08-03 10:38:42.238563+00;41.59659;45.91804
osm-6879206685;ნასოფლარ კვირაწმინდას კოშკის ნანგრევები;მცხეთა-მთიანეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""მცხეთა-მთიანეთი""]";true;true;4.4;ღირსშესანიშნაობა — მცხეთა-მთიანეთი.;{};72.47;37.85;2026-08-03 10:38:42.238563+00;42.64698;44.9003
osm-6879357888;2938 მ;მცხეთა-მთიანეთი;nature;ხედი;"[""ხედი"",""მცხეთა-მთიანეთი""]";true;true;4.4;ხედი — მცხეთა-მთიანეთი.;{};72.42;39.92;2026-08-03 10:38:42.238563+00;42.59219;44.89715
osm-6879387985;უღელტეხილი არხოტი, 2935 მ;მცხეთა-მთიანეთი;nature;ხედი;"[""ხედი"",""მცხეთა-მთიანეთი""]";true;true;4.4;ხედი — მცხეთა-მთიანეთი.;{};72.53;39.87;2026-08-03 10:38:42.238563+00;42.59351;44.90474
osm-6925043387;პანორამული ხედი ბაკურიანზე საქარიას გორადან;სამცხე-ჯავახეთი;nature;ხედი;"[""ხედი"",""სამცხე-ჯავახეთი""]";true;true;4.4;ხედი — სამცხე-ჯავახეთი.;{};50.23;71.30;2026-08-03 10:38:42.238563+00;41.76051;43.36559
osm-6960640386;თამაკონის ციხის ნანგრევები;სამეგრელო;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""სამეგრელო""]";true;true;4.4;ღირსშესანიშნაობა — სამეგრელო.;{};35.42;44.55;2026-08-03 10:38:42.238563+00;42.46953;42.34413
osm-6976458488;გადასახვევი წმ.გიორგის ეკლესიისკენ;მცხეთა-მთიანეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""მცხეთა-მთიანეთი""]";true;true;4.4;ღირსშესანიშნაობა — მცხეთა-მთიანეთი.;{};71.71;54.84;2026-08-03 10:38:42.238563+00;42.19681;44.84783
osm-6984798186;გადასახვევი ცხრაკარას ეკლესიისკენ;კახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""კახეთი""]";true;true;4.4;ღირსშესანიშნაობა — კახეთი.;{};85.15;65.14;2026-08-03 10:38:42.238563+00;41.92383;45.77529
osm-7013800085;ნიკორწმინდის საყინულეს მღვიმე;რაჭა-ლეჩხუმი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""რაჭა-ლეჩხუმი""]";true;true;4.4;ღირსშესანიშნაობა — რაჭა-ლეჩხუმი.;{};45.90;44.78;2026-08-03 10:38:42.238563+00;42.46334;43.06697
osm-7013972087;კაჩაეთის 900 წლიანი ცაცხვი;რაჭა-ლეჩხუმი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""რაჭა-ლეჩხუმი""]";true;true;4.4;ღირსშესანიშნაობა — რაჭა-ლეჩხუმი.;{};46.56;44.43;2026-08-03 10:38:42.238563+00;42.47269;43.11267
osm-7042005685;ძუძუანას;რაჭა-ლეჩხუმი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""რაჭა-ლეჩხუმი""]";false;false;4.9;ღირსშესანიშნაობა — რაჭა-ლეჩხუმი.;{};49.53;50.46;2026-08-03 10:38:42.238563+00;42.3129;43.31782
osm-7057084585;ფეოდალ გურკელელების რეზიდენცია;სამცხე-ჯავახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""სამცხე-ჯავახეთი""]";true;true;4.4;ღირსშესანიშნაობა — სამცხე-ჯავახეთი.;{};46.65;72.69;2026-08-03 10:38:42.238563+00;41.72375;43.11917
osm-7057084785;საგანგაშო კოშკი (??);სამცხე-ჯავახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""სამცხე-ჯავახეთი""]";true;true;4.4;ღირსშესანიშნაობა — სამცხე-ჯავახეთი.;{};46.46;72.46;2026-08-03 10:38:42.238563+00;41.7298;43.10608
osm-7057872485;ნაკადულზე გადასასვლელი(რთულია);ქვემო ქართლი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""ქვემო ქართლი""]";true;true;4.4;ღირსშესანიშნაობა — ქვემო ქართლი.;{};65.34;81.14;2026-08-03 10:38:42.238563+00;41.49972;44.4087
osm-7131826587;ფერმა;კახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""კახეთი""]";true;true;4.4;ღირსშესანიშნაობა — კახეთი.;{};84.82;86.18;2026-08-03 10:38:42.238563+00;41.36612;45.75273
osm-7133579288;რკინის საავტომობილო ხიდი;კახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""კახეთი""]";true;true;4.4;ღირსშესანიშნაობა — კახეთი.;{};83.61;83.32;2026-08-03 10:38:42.238563+00;41.44192;45.66909
osm-7133598885;ფონი მდ.იორზე მაღალი მანქანების გადასასვლელად;კახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""კახეთი""]";true;true;4.4;ღირსშესანიშნაობა — კახეთი.;{};83.57;83.36;2026-08-03 10:38:42.238563+00;41.441;45.66605
osm-7134517785;ფონი მდ. იორზე მაღალი გამავლობის ავტომობილებისთვის;კახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""კახეთი""]";true;true;4.4;ღირსშესანიშნაობა — კახეთი.;{};84.87;86.33;2026-08-03 10:38:42.238563+00;41.36229;45.75604
osm-7135751285;საავტომობილო ხიდი;კახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""კახეთი""]";true;true;4.4;ღირსშესანიშნაობა — კახეთი.;{};83.25;80.91;2026-08-03 10:38:42.238563+00;41.50578;45.64439
osm-7144860334;მშენებარე ეკლესია;თბილისი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""თბილისი""]";true;true;4.4;ღირსშესანიშნაობა — თბილისი.;{};67.77;71.00;2026-08-03 10:38:42.238563+00;41.7686;44.57606
osm-7237293986;მუგუთის ქვაბები;ქვემო ქართლი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""ქვემო ქართლი""]";true;true;4.4;ღირსშესანიშნაობა — ქვემო ქართლი.;{};67.71;80.84;2026-08-03 10:38:42.238563+00;41.50775;44.57181
osm-7254636887;ნასახლარი;ქვემო ქართლი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""ქვემო ქართლი""]";true;true;4.4;ღირსშესანიშნაობა — ქვემო ქართლი.;{};67.18;81.00;2026-08-03 10:38:42.238563+00;41.50342;44.53511
osm-7276269386;ნასახლარის ნანგრევები;თბილისი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""თბილისი""]";true;true;4.4;ღირსშესანიშნაობა — თბილისი.;{};71.69;67.96;2026-08-03 10:38:42.238563+00;41.84904;44.84679
osm-7276270685;თამარის ციხე-დარბაზის;თბილისი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""თბილისი""]";true;true;4.4;ღირსშესანიშნაობა — თბილისი.;{};71.72;67.96;2026-08-03 10:38:42.238563+00;41.84916;44.8485
osm-7276520687;ვეჯინის სასახლის ნანგრევები;თბილისი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""თბილისი""]";true;true;4.4;ღირსშესანიშნაობა — თბილისი.;{};71.60;68.01;2026-08-03 10:38:42.238563+00;41.84767;44.84062
osm-7397091386;არსენას გამოქვაბული;ქვემო ქართლი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""ქვემო ქართლი""]";true;true;4.4;ღირსშესანიშნაობა — ქვემო ქართლი.;{};64.73;74.15;2026-08-03 10:38:42.238563+00;41.68512;44.36656
osm-7600377191;ციხისკენ საფეხმავლო ბილიკის დასაწყისი;შიდა ქართლი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""შიდა ქართლი""]";true;true;4.4;ღირსშესანიშნაობა — შიდა ქართლი.;{};63.42;67.28;2026-08-03 10:38:42.238563+00;41.86704;44.27584
osm-7600377193;ეკლესიისკენ საფეხმავლო ბილიკის დასაწყისი;შიდა ქართლი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""შიდა ქართლი""]";true;true;4.4;ღირსშესანიშნაობა — შიდა ქართლი.;{};63.64;67.27;2026-08-03 10:38:42.238563+00;41.86725;44.29119
osm-7640785394;არდოტი;მცხეთა-მთიანეთი;nature;ხედი;"[""ხედი"",""მცხეთა-მთიანეთი""]";true;true;4.4;ხედი — მცხეთა-მთიანეთი.;{};76.67;40.74;2026-08-03 10:38:42.238563+00;42.57043;45.18994
osm-7663743315;ხედი საირმის სვეტებზე;რაჭა-ლეჩხუმი;nature;ხედი;"[""ხედი"",""რაჭა-ლეჩხუმი""]";true;true;4.4;ხედი — რაჭა-ლეჩხუმი.;{};43.11;41.59;2026-08-03 10:38:42.238563+00;42.54788;42.8743
osm-7678248785;ბილიკის დასაწყისი გამოქვაბულ- მონასტრამდე;თბილისი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""თბილისი""]";true;true;4.4;ღირსშესანიშნაობა — თბილისი.;{};76.06;70.67;2026-08-03 10:38:42.238563+00;41.77715;45.1483
osm-7682849185;გედების ტბა;რაჭა-ლეჩხუმი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""რაჭა-ლეჩხუმი""]";true;true;4.4;ღირსშესანიშნაობა — რაჭა-ლეჩხუმი.;{};49.06;51.35;2026-08-03 10:38:42.238563+00;42.28917;43.28534
osm-7683175085;აკაკის ძიძისეული სახლ-მუზეუმი;რაჭა-ლეჩხუმი;culture;მუზეუმი;"[""მუზეუმი"",""რაჭა-ლეჩხუმი""]";true;true;4.4;მუზეუმი — რაჭა-ლეჩხუმი.;{};51.75;50.10;2026-08-03 10:38:42.238563+00;42.32244;43.47072
osm-7747679485;გოგირდის აბანო;შიდა ქართლი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""შიდა ქართლი""]";true;true;4.4;ღირსშესანიშნაობა — შიდა ქართლი.;{};55.82;62.60;2026-08-03 10:38:42.238563+00;41.99121;43.75148
osm-7773856785;გალავნები;მცხეთა-მთიანეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""მცხეთა-მთიანეთი""]";true;true;4.4;ღირსშესანიშნაობა — მცხეთა-მთიანეთი.;{};76.77;58.51;2026-08-03 10:38:42.238563+00;42.09949;45.19707
osm-7778457285;სასახლის ნანგრევები;მცხეთა-მთიანეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""მცხეთა-მთიანეთი""]";true;true;4.4;ღირსშესანიშნაობა — მცხეთა-მთიანეთი.;{};76.72;57.69;2026-08-03 10:38:42.238563+00;42.12124;45.19399
osm-7778457385;სამეურნეო ნაგებობების ნანგრევები;მცხეთა-მთიანეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""მცხეთა-მთიანეთი""]";true;true;4.4;ღირსშესანიშნაობა — მცხეთა-მთიანეთი.;{};76.73;57.68;2026-08-03 10:38:42.238563+00;42.12137;45.19425
osm-7810604886;ახალშენის ციკლოპური ციხე-სიმაგრის ნანგრევები;შიდა ქართლი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""შიდა ქართლი""]";true;true;4.4;ღირსშესანიშნაობა — შიდა ქართლი.;{};60.45;74.79;2026-08-03 10:38:42.238563+00;41.66814;44.07086
osm-7815940786;აი-ილიას ანტიკური ნამოსახლარი,ციკლოპური სიმაგრე და მეზოლითური სადგომი;შიდა ქართლი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""შიდა ქართლი""]";true;true;4.4;ღირსშესანიშნაობა — შიდა ქართლი.;{};60.41;75.67;2026-08-03 10:38:42.238563+00;41.64467;44.06835
osm-7815941486;ნასოფლარ გარყლუპის დარანი;ქვემო ქართლი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""ქვემო ქართლი""]";true;true;4.4;ღირსშესანიშნაობა — ქვემო ქართლი.;{};60.82;76.66;2026-08-03 10:38:42.238563+00;41.61858;44.09687
osm-7815942187;ყორღანები სარიტუალო გზით;ქვემო ქართლი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""ქვემო ქართლი""]";true;true;4.4;ღირსშესანიშნაობა — ქვემო ქართლი.;{};60.69;76.37;2026-08-03 10:38:42.238563+00;41.62608;44.08777
osm-7817347295;საბანაო;შიდა ქართლი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""შიდა ქართლი""]";true;true;4.4;ღირსშესანიშნაობა — შიდა ქართლი.;{};59.36;63.62;2026-08-03 10:38:42.238563+00;41.96404;43.99559
osm-7824596285;საჩხერის ჯურხა ნადირაძის სახელობის მხარეთმცოდნეობის მუზეუმი;რაჭა-ლეჩხუმი;culture;მუზეუმი;"[""მუზეუმი"",""რაჭა-ლეჩხუმი""]";true;true;4.4;მუზეუმი — რაჭა-ლეჩხუმი.;{};51.11;48.92;2026-08-03 10:38:42.238563+00;42.35365;43.42648
osm-7824596289;"მოქანავე ლოდი ""ქვაყუნტია""";რაჭა-ლეჩხუმი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""რაჭა-ლეჩხუმი""]";true;true;4.4;ღირსშესანიშნაობა — რაჭა-ლეჩხუმი.;{};47.89;48.30;2026-08-03 10:38:42.238563+00;42.37;43.20473
osm-7824596385;აკაკი წერეთლის მუზეუმის საგამოფენო დარბაზი;რაჭა-ლეჩხუმი;culture;მუზეუმი;"[""მუზეუმი"",""რაჭა-ლეჩხუმი""]";true;true;4.4;მუზეუმი — რაჭა-ლეჩხუმი.;{};51.11;48.88;2026-08-03 10:38:42.238563+00;42.35462;43.42675
osm-7824596485;ქვაყუნთია(???);რაჭა-ლეჩხუმი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""რაჭა-ლეჩხუმი""]";true;true;4.4;ღირსშესანიშნაობა — რაჭა-ლეჩხუმი.;{};47.88;48.32;2026-08-03 10:38:42.238563+00;42.36945;43.2039
osm-7836199887;მ.სხამოანა,3238;კახეთი;nature;ხედი;"[""ხედი"",""კახეთი""]";true;true;4.4;ხედი — კახეთი.;{};80.75;50.86;2026-08-03 10:38:42.238563+00;42.30232;45.47146
osm-7836216885;უღ.ორიწყალი,2984(6-9);კახეთი;nature;ხედი;"[""ხედი"",""კახეთი""]";true;true;4.4;ხედი — კახეთი.;{};80.83;51.19;2026-08-03 10:38:42.238563+00;42.29343;45.47736
osm-7836216985;უღ.სამყინვროსწვერი,3167(6-9);კახეთი;nature;ხედი;"[""ხედი"",""კახეთი""]";true;true;4.4;ხედი — კახეთი.;{};80.30;50.79;2026-08-03 10:38:42.238563+00;42.30416;45.44046
osm-7855589085;"ადგილი ""ბადიორ""ნაკოშკარი";სვანეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""სვანეთი""]";true;true;4.4;ღირსშესანიშნაობა — სვანეთი.;{};36.56;21.82;2026-08-03 10:38:42.238563+00;43.0719;42.42296
osm-7859520703;ჭავჭავაძის მარნის ენოთეკა;კახეთი;culture;მუზეუმი;"[""მუზეუმი"",""კახეთი""]";true;true;4.4;მუზეუმი — კახეთი.;{};82.10;66.23;2026-08-03 10:38:42.238563+00;41.89486;45.56499
osm-7859897986;"ადგილი""სველას წყალი""";ქვემო ქართლი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""ქვემო ქართლი""]";true;true;4.4;ღირსშესანიშნაობა — ქვემო ქართლი.;{};64.53;68.83;2026-08-03 10:38:42.238563+00;41.82603;44.35279
osm-7864401285;მ.გრიგოლისწვერი,1147;ქვემო ქართლი;nature;ხედი;"[""ხედი"",""ქვემო ქართლი""]";true;true;4.4;ხედი — ქვემო ქართლი.;{};65.08;68.17;2026-08-03 10:38:42.238563+00;41.84349;44.39022
osm-7880570885;ციხიაგორის სატაძრო კომპლექსი;თბილისი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""თბილისი""]";true;true;4.4;ღირსშესანიშნაობა — თბილისი.;{};66.21;67.01;2026-08-03 10:38:42.238563+00;41.87416;44.46855
osm-7880601485;ზანდურის სახლის საქანელა და გადასახედი;რაჭა-ლეჩხუმი;nature;ხედი;"[""ხედი"",""რაჭა-ლეჩხუმი""]";true;true;4.4;ხედი — რაჭა-ლეჩხუმი.;{};41.92;40.44;2026-08-03 10:38:42.238563+00;42.57843;42.79277
osm-7884385285;ჩიქოვანების მარანი და კარიბჭე-გალავანი;თბილისი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""თბილისი""]";true;true;4.4;ღირსშესანიშნაობა — თბილისი.;{};66.63;66.57;2026-08-03 10:38:42.238563+00;41.88592;44.49772
osm-7888040085;დადეშქელიანების სახლის კომპლექსი;სვანეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""სვანეთი""]";true;true;4.4;ღირსშესანიშნაობა — სვანეთი.;{};38.06;22.67;2026-08-03 10:38:42.238563+00;43.04927;42.52624
osm-7906064885;მარმარილოს ყოფილი კარიერი;კახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""კახეთი""]";true;true;4.4;ღირსშესანიშნაობა — კახეთი.;{};83.35;56.97;2026-08-03 10:38:42.238563+00;42.14038;45.65142
osm-7908362591;მუცოს ციხე-ქალაქი;მცხეთა-მთიანეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""მცხეთა-მთიანეთი""]";false;false;4.9;ღირსშესანიშნაობა — მცხეთა-მთიანეთი.;{};76.93;39.34;2026-08-03 10:38:42.238563+00;42.60743;45.20798
osm-7918192185;გამოქვაბული;კახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""კახეთი""]";true;true;4.4;ღირსშესანიშნაობა — კახეთი.;{};89.65;63.31;2026-08-03 10:38:42.238563+00;41.97236;46.08612
osm-7949076387;გიგანტური ადამიანის ფეხის კვალი;შიდა ქართლი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""შიდა ქართლი""]";true;true;4.4;ღირსშესანიშნაობა — შიდა ქართლი.;{};54.19;57.95;2026-08-03 10:38:42.238563+00;42.11436;43.6392
osm-7950988785;ვეზირიშვილების სასახლე;შიდა ქართლი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""შიდა ქართლი""]";true;true;4.4;ღირსშესანიშნაობა — შიდა ქართლი.;{};54.14;62.11;2026-08-03 10:38:42.238563+00;42.00399;43.63569
osm-8007946894;ეკლესიის(ან ნამოსახლარის) ნანგრევები;თბილისი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""თბილისი""]";true;true;4.4;ღირსშესანიშნაობა — თბილისი.;{};71.72;67.97;2026-08-03 10:38:42.238563+00;41.84892;44.84846
osm-8017638985;ძევრის მღვიმე;იმერეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""იმერეთი""]";true;true;4.4;ღირსშესანიშნაობა — იმერეთი.;{};44.37;52.62;2026-08-03 10:38:42.238563+00;42.25553;42.9613
osm-8022669685;მ.კოწახური,354;კახეთი;nature;ხედი;"[""ხედი"",""კახეთი""]";true;true;4.4;ხედი — კახეთი.;{};88.46;91.23;2026-08-03 10:38:42.238563+00;41.23248;46.00356
osm-8022745685;მ.ტახტი თეფა,763;კახეთი;nature;ხედი;"[""ხედი"",""კახეთი""]";true;true;4.4;ხედი — კახეთი.;{};86.91;92.31;2026-08-03 10:38:42.238563+00;41.20379;45.89659
osm-8022745785;მ.ჭაჭუნა,298.2;კახეთი;nature;ხედი;"[""ხედი"",""კახეთი""]";true;true;4.4;ხედი — კახეთი.;{};88.03;91.25;2026-08-03 10:38:42.238563+00;41.23197;45.97432
osm-8043121286;პირაღიის მღვიმე;იმერეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""იმერეთი""]";true;true;4.4;ღირსშესანიშნაობა — იმერეთი.;{};50.69;55.45;2026-08-03 10:38:42.238563+00;42.18049;43.39788
osm-8043863286;სამოლოქიის მინდორი;იმერეთი;nature;ხედი;"[""ხედი"",""იმერეთი""]";true;true;4.4;ხედი — იმერეთი.;{};41.95;60.33;2026-08-03 10:38:42.238563+00;42.05117;42.79426
osm-8043960886;დევიძეების წყლის წისქვილი;იმერეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""იმერეთი""]";true;true;4.4;ღირსშესანიშნაობა — იმერეთი.;{};41.60;59.70;2026-08-03 10:38:42.238563+00;42.068;42.77057
osm-8047083885;ბეწვის ხიდი მდ.ტეხურაზე;სამეგრელო;nature;ხედი;"[""ხედი"",""სამეგრელო""]";true;true;4.4;ხედი — სამეგრელო.;{};33.23;48.24;2026-08-03 10:38:42.238563+00;42.37175;42.19314
osm-8095792886;ხავის-წყარო;თბილისი;nature;ხედი;"[""ხედი"",""თბილისი""]";true;true;4.4;ხედი — თბილისი.;{};76.25;61.30;2026-08-03 10:38:42.238563+00;42.02568;45.16144
osm-8274526127;გურაზას ქვა;კახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""კახეთი""]";true;true;4.4;ღირსშესანიშნაობა — კახეთი.;{};85.36;74.24;2026-08-03 10:38:42.238563+00;41.68263;45.7896
osm-8483633567;ცხავერის ჩანჩქერი;ქვემო ქართლი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""ქვემო ქართლი""]";true;true;4.4;ღირსშესანიშნაობა — ქვემო ქართლი.;{};64.24;68.06;2026-08-03 10:38:42.238563+00;41.84629;44.33284
osm-8786701145;ბალდის კანიონი;სამეგრელო;nature;ხედი;"[""ხედი"",""სამეგრელო""]";true;true;4.4;ხედი — სამეგრელო.;{};36.34;43.84;2026-08-03 10:38:42.238563+00;42.48811;42.40757
osm-9140366693;სვერის კლდეკარის გამოქვაბული;იმერეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""იმერეთი""]";true;true;4.4;ღირსშესანიშნაობა — იმერეთი.;{};49.25;53.28;2026-08-03 10:38:42.238563+00;42.23802;43.29839
osm-9148153779;ხედი სვერის კლდეკარის გამოქვაბულზე;იმერეთი;nature;ხედი;"[""ხედი"",""იმერეთი""]";true;true;4.4;ხედი — იმერეთი.;{};49.22;53.30;2026-08-03 10:38:42.238563+00;42.2376;43.2961
osm-9148156505;ხედი ღურღუმელას ტბაზე;იმერეთი;nature;ხედი;"[""ხედი"",""იმერეთი""]";true;true;4.4;ხედი — იმერეთი.;{};48.66;52.72;2026-08-03 10:38:42.238563+00;42.25292;43.2576
osm-9151177618;ფოტო ჩარჩო (მწვანე);სვანეთი;nature;ხედი;"[""ხედი"",""სვანეთი""]";true;true;4.4;ხედი — სვანეთი.;{};40.65;23.90;2026-08-03 10:38:42.238563+00;43.01663;42.70516
osm-9151190617;ფოტო ჩარჩო (ყვითელი);სვანეთი;nature;ხედი;"[""ხედი"",""სვანეთი""]";true;true;4.4;ხედი — სვანეთი.;{};40.64;23.97;2026-08-03 10:38:42.238563+00;43.01492;42.70439
osm-9157681421;ხედი სვერის კლდეკარის გამოქვანულზე;იმერეთი;nature;ხედი;"[""ხედი"",""იმერეთი""]";true;true;4.4;ხედი — იმერეთი.;{};49.17;53.23;2026-08-03 10:38:42.238563+00;42.23949;43.293
osm-9645775705;ახალსოფლის მენჰირი;ქვემო ქართლი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""ქვემო ქართლი""]";true;true;4.4;ღირსშესანიშნაობა — ქვემო ქართლი.;{};64.38;75.12;2026-08-03 10:38:42.238563+00;41.65927;44.34206
osm-9668018507;წიგნის მუზეუმი;თბილისი;culture;მუზეუმი;"[""მუზეუმი"",""თბილისი""]";false;false;4.9;მუზეუმი — თბილისი.;{};71.03;73.73;2026-08-03 10:38:42.238563+00;41.69626;44.8012
osm-9672782896;ძლევის ქედის „თამარის სავარძლები“;ქვემო ქართლი;nature;ხედი;"[""ხედი"",""ქვემო ქართლი""]";true;true;4.4;ხედი — ქვემო ქართლი.;{};65.60;67.99;2026-08-03 10:38:42.238563+00;41.84833;44.42657
osm-9721222742;პანკისის ეთნოგრაფიული მუზეუმი;კახეთი;culture;მუზეუმი;"[""მუზეუმი"",""კახეთი""]";true;true;4.4;მუზეუმი — კახეთი.;{};78.05;57.00;2026-08-03 10:38:42.238563+00;42.13947;45.28552
osm-9743990318;სასახლე-ხოკერაანთ ნასახლარი;კახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""კახეთი""]";true;true;4.4;ღირსშესანიშნაობა — კახეთი.;{};79.10;57.30;2026-08-03 10:38:42.238563+00;42.1316;45.3578
osm-9745401384;ოჟიოს კოშკი;კახეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""კახეთი""]";true;true;4.4;ღირსშესანიშნაობა — კახეთი.;{};79.18;63.25;2026-08-03 10:38:42.238563+00;41.97377;45.36349
osm-9890728875;იაკობ ნიკოლაძის სახლ-მუზეუმი;თბილისი;culture;მუზეუმი;"[""მუზეუმი"",""თბილისი""]";false;false;4.9;მუზეუმი — თბილისი.;{};70.76;73.24;2026-08-03 10:38:42.238563+00;41.70904;44.78213
osm-9933179018;შოდას ტბა;რაჭა-ლეჩხუმი;nature;ხედი;"[""ხედი"",""რაჭა-ლეჩხუმი""]";true;true;4.4;ხედი — რაჭა-ლეჩხუმი.;{};51.43;37.01;2026-08-03 10:38:42.238563+00;42.66914;43.44853
osm-9942247822;მზის ამოსვლა და ჩასვლა;სვანეთი;nature;ხედი;"[""ხედი"",""სვანეთი""]";true;true;4.4;ხედი — სვანეთი.;{};41.14;24.20;2026-08-03 10:38:42.238563+00;43.00874;42.73863
osm-9944537908;მთისუბნის ბუნებრივი მაცივარი/საყინულე;გურია;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""გურია""]";true;true;4.4;ღირსშესანიშნაობა — გურია.;{};37.98;79.80;2026-08-03 10:38:42.238563+00;41.53521;42.52045
